OBJECTID,Jurisdiction,APN,Vacancy,Units,Zoning,ZoningSimplified,Min_Density,Max_Density,Links,Shape__Area,Shape__Length
2013,National City,5550861300,,2,7,,,185,https://www.nationalcityca.gov/government/community-development/planning/zoning,988.3857421875,139.960038159848
2014,National City,5550861400,,2,7,,,185,https://www.nationalcityca.gov/government/community-development/planning/zoning,987.4326171875,141.405224843305
2015,City of San Diego,5343352800,,79,CCPD-R,Commercial,,,https://www.sandiego.gov/development-services/zoning,4909.478515625,296.402073096399
2016,City of San Diego,5343352900,,84,CCPD-R,Commercial,,,https://www.sandiego.gov/development-services/zoning,5200.9541015625,302.706503459148
2017,City of San Diego,5343360800,,19,CCPD-R,Commercial,,,https://www.sandiego.gov/development-services/zoning,5226.740234375,307.491685324487
2018,City of San Diego,5351360500,,19,CCPD-ER,Commercial,,,https://www.sandiego.gov/development-services/zoning,5191.9033203125,303.249428626594
2019,City of San Diego,5351360600,,18,CCPD-ER,Commercial,,,https://www.sandiego.gov/development-services/zoning,4890.455078125,297.101307839419
2020,City of San Diego,5351210600,,18,CCPD-ER,Commercial,,,https://www.sandiego.gov/development-services/zoning,5006.083984375,300.084657357166
2021,City of San Diego,5351210700,,9,CCPD-ER,Commercial,,,https://www.sandiego.gov/development-services/zoning,2503.1279296875,250.00462240793
2022,City of San Diego,5351310500,,18,CCPD-R,Commercial,,,https://www.sandiego.gov/development-services/zoning,5010.4013671875,300.380870499434
2023,City of San Diego,5340640300,,18,CCPD-R,Commercial,,,https://www.sandiego.gov/development-services/zoning,5012,300.288562778561
2024,City of San Diego,5341911100,,29,CCPD-R,Commercial,,,https://www.sandiego.gov/development-services/zoning,7857.5537109375,356.927104899088
2025,City of San Diego,5341920200,,19,CCPD-R,Commercial,,,https://www.sandiego.gov/development-services/zoning,5194.072265625,302.008851507309
2026,City of San Diego,5341920300,,18,CCPD-R,Commercial,,,https://www.sandiego.gov/development-services/zoning,4961.7900390625,297.505386305751
2027,City of San Diego,5341950200,,9,CCPD-R,Commercial,,,https://www.sandiego.gov/development-services/zoning,2405.9619140625,245.411904232102
2028,City of San Diego,5341950300,,9,CCPD-R,Commercial,,,https://www.sandiego.gov/development-services/zoning,2555.556640625,248.585967714836
2029,City of San Diego,5341950400,,19,CCPD-R,Commercial,,,https://www.sandiego.gov/development-services/zoning,5204.7568359375,302.839353060391
2030,City of San Diego,5341950600,,35,CCPD-R,Commercial,,,https://www.sandiego.gov/development-services/zoning,9602.9921875,391.999872177839
2031,City of San Diego,5340430100,,48,CCPD-ER,Commercial,,,https://www.sandiego.gov/development-services/zoning,12381.615234375,512.704927619254
2032,City of San Diego,4521035400,,2,RM-3-7,High Density Residential,,44,https://www.sandiego.gov/development-services/zoning,4962.2099609375,301.638964254818
2033,City of San Diego,4521035600,,10,RM-3-7,High Density Residential,,44,https://www.sandiego.gov/development-services/zoning,14469.83984375,656.750876653905
2034,City of San Diego,4521035700,,3,RM-3-7,High Density Residential,,44,https://www.sandiego.gov/development-services/zoning,4495.7197265625,294.796066573984
2035,City of San Diego,4521035800,,7,RM-3-7,High Density Residential,,44,https://www.sandiego.gov/development-services/zoning,11739.7431640625,569.569563659758
2036,City of San Diego,4521312200,,3,RM-3-7,High Density Residential,,44,https://www.sandiego.gov/development-services/zoning,3685.2548828125,280.58821845131
2037,City of San Diego,4520933800,,3,RM-3-7,High Density Residential,,44,https://www.sandiego.gov/development-services/zoning,5116.7861328125,304.676153641802
2038,City of San Diego,4520933900,,4,RM-3-7,High Density Residential,,44,https://www.sandiego.gov/development-services/zoning,5408.484375,311.045349336108
2039,City of San Diego,4520934000,,3,RM-3-7,High Density Residential,,44,https://www.sandiego.gov/development-services/zoning,4873.759765625,301.38799520664
2040,City of San Diego,4520934200,,4,RM-3-7,High Density Residential,,44,https://www.sandiego.gov/development-services/zoning,5979.9755859375,334.831104897483
2041,City of San Diego,4521550100,,3,RM-3-7,High Density Residential,,44,https://www.sandiego.gov/development-services/zoning,3679.4013671875,280.668988638267
2042,City of San Diego,4521550200,,3,RM-3-7,High Density Residential,,44,https://www.sandiego.gov/development-services/zoning,3679.3466796875,280.667212021336
2043,City of San Diego,4521550300,,3,RM-3-7,High Density Residential,,44,https://www.sandiego.gov/development-services/zoning,3679.1494140625,280.668720678847
2044,Escondido,2360520900,,3,S‐P,,,25,,7292.1416015625,388.777539379499
2045,Escondido,2360521000,,2,S‐P,,,25,,6441.2890625,376.22573172948
2046,Coronado,5373421200,,5,R-3,Medium Density Residential,28,,https://www.coronado.ca.us/government/departments_divisions/community_development/planning_and_zoning,8979.7421875,442.981907805648
2047,Imperial Beach,6323904900,,1,R-1-6000,Low Density Residential,,7,https://www.imperialbeachca.gov/planning,14786.345703125,489.154949475661
2048,National City,5574101100,,17,MXD-2,Mixed Use,,75,https://www.nationalcityca.gov/government/community-development/planning/zoning,15959.5263671875,623.714003588948
2049,National City,5565902000,,50,MXD-2,Mixed Use,,75,https://www.nationalcityca.gov/government/community-development/planning/zoning,44480.9404296875,859.02264140297
2050,National City,5550850600,,6,7,,,185,https://www.nationalcityca.gov/government/community-development/planning/zoning,1865.103515625,202.843096140912
2051,City of San Diego,5343351000,,46,CCPD-R,Commercial,,,https://www.sandiego.gov/development-services/zoning,12561.509765625,452.687031532162
2052,City of San Diego,5351330200,,18,CCPD-R,Commercial,,,https://www.sandiego.gov/development-services/zoning,4898.765625,298.492539066961
2053,City of San Diego,5351330300,,18,CCPD-R,Commercial,,,https://www.sandiego.gov/development-services/zoning,4958.1650390625,299.333921483743
2054,City of San Diego,5351331400,,71,CCPD-R,Commercial,,,https://www.sandiego.gov/development-services/zoning,19459.4580078125,575.642525455595
2055,City of San Diego,5351331500,,20,CCPD-R,Commercial,,,https://www.sandiego.gov/development-services/zoning,5458.5478515625,317.089461258867
